fragment_smiles,count
[3*]O[C@H]1O[C@H]([13*])[C@@H]([15*])[C@H](O)[C@H]1N[5*],9
[3*]O[C@H]1[C@H](O)[C@@H](N[5*])[C@@H]([13*])O[C@@H]1[13*],9
[3*]O[C@]1([13*])C[C@H](O)[C@@H](N[5*])[C@H]([13*])O1,9
[4*][C@]1([13*])C[C@H](O)[C@@H](N[5*])[C@H]([13*])O1,9
[3*]O[C@@H]1O[C@H]([13*])[C@H](O[3*])[C@H](O[3*])[C@H]1O,9
[5*]N[C@@H]1[C@@H](O)[C@H]([15*])[C@@H]([13*])O[C@@H]1[13*],9
[3*]O[C@@H]1O[C@H]([13*])[C@H](O)[C@H]([15*])[C@H]1O,9
[8*][C@H](O)[C@H](O)CO,9
[3*]O[C@@H]1[C@H]([15*])[C@@H](O)[C@H]([13*])O[C@@H]1[13*],9
[13*][C@@H]1O[C@H]([13*])[C@H](O)[C@H]([15*])[C@H]1O,9
[3*]O[C@@H]1[C@@H](O)[C@H]([13*])O[C@H]([13*])[C@@H]1O[3*],9
[13*][C@@H]1O[C@H]([13*])[C@H]([15*])[C@H]([15*])[C@H]1O,9
[3*]O[C@@H]1O[C@H]([13*])[C@H](O)[C@H](O[3*])[C@H]1O,9
[5*]N[C@H]1[C@H]([13*])OC([13*])([13*])C[C@@H]1O,9
[3*]O[C@H]1[C@@H]([15*])[C@@H]([13*])O[C@@H]([13*])[C@@H]1O,9
[3*]O[C@@H]1O[C@H]([13*])[C@H](O[3*])[C@H]([15*])[C@H]1O,9
[3*]O[C@@H]1O[C@H]([13*])[C@H]([15*])[C@H]([15*])[C@H]1O,9
[4*]C[C@H]1O[C@H]([13*])[C@H](O)[C@@H](O)[C@@H]1O,9
[3*]O[C@@H]1[C@@H](O)[C@H]([13*])O[C@H]([13*])[C@@H]1O,9
[3*]O[C@H]1O[C@H]([13*])[C@@H](O[3*])[C@H](O)[C@H]1N[5*],9
[7*]CC(C)C,9
[7*]C(C)C=C,9
[5*]N[C@@H](CCCN(O)C=O)C(=O)O,9
[1*]C(=O)C(C)N[5*],9
[5*]N[C@H](C[8*])C(=O)O,9
[1*]C(=O)C([4*])C[4*],9
[8*]C[C@@H]1C(=C)CC[C@H]2[C@@]([15*])(C)[C@H](O)CC[C@]12C,9
[15*][C@@H]1C(=C)CC[C@H]2[C@@]([15*])(C)[C@H](O)CC[C@]12C,9
[4*]CC[C@H](N[5*])C(=O)O,9
[7*]C([8*])O,9
[1*]C(=O)C(CC(=O)O)N[5*],9
[8*]C(O)C(=O)O,9
[15*][C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,9
[1*]C(=O)C[C@@H](N)CCCN,9
[9*]n1cc([16*])c2ccccc21,9
[5*]N[C@@H](CC(C)C)C(=O)O,9
[8*]Cc1cnc([14*])c(=O)[nH]1,9
[8*]CCCCCC(Cl)CCCCCC,9
[16*]c1ccc(O)cc1[16*],9
[8*][C@H](C)C(=O)O,9
[5*]NC(CC(C)C)C(=O)O,8
[1*]C(=O)C[C@@H](CC(=O)O)C(=O)O,8
[7*]C[C@H](C)C(=O)C[C@H](O)C[8*],8
[4*]CC[8*],8
[7*]Cc1ccc(O)c(Br)c1,8
[1*]C(=O)CCCCCCCCCCCCCCC,8
[5*]NCC(=O)O,8
[13*][C@H]1O[C@H]([13*])[C@@H](O)[C@H](N)[C@H]1O,8
[3*]O[C@H]1O[C@H]([13*])[C@@H](O)[C@H](N)[C@H]1O,8
[7*]C[C@@H](C)[C@@H](O)C([7*])C,8
[3*]O[C@H]1O[C@H]([13*])[C@@H](O)[C@H](O)[C@H]1N,8
[13*][C@H]1O[C@H]([13*])[C@@H](O)[C@H](O)[C@H]1N,8
[7*]CC(C)CC,8
[13*]C1OC([13*])C(O)C(O)C1[15*],8
[3*]OC1C([13*])OC([13*])C(O)C1O,8
[3*]OP(=O)(O)O[3*],8
[1*]C(=O)[C@H]([8*])N[5*],8
[5*]Nc1cc(N)c2c3c(cc([14*])nc13)C=N2,8
[13*]C1([13*])CC(=C)[C@@H](C)[C@@H](C)O1,8
[4*][C@]1([13*])CC(=C)[C@@H](C)[C@@H](C)O1,8
[7*]C[C@@H](C)CC,8
[5*]NCCC1=CCN(C(=N)N)C1,8
[1*]C(=O)[C@@H](CCCCN)N[5*],8
[8*]C(O)C(N)=O,8
[1*]C(=O)C([7*])C[7*],8
[1*]C(=O)[C@@H](CC(=O)O)N[5*],8
[1*]C(=O)[C@H](CCC[4*])N[5*],8
[1*]C(=O)[C@@H](CCCN=C(N)N)N[5*],8
[5*]N[C@H](C(=O)O)[C@@H](C)CC,8
[8*]Cc1cn([9*])c2ccccc12,8
[7*]CCCCCCCCC,8
[3*]O[C@H]1CC[C@H](O[3*])[C@@H](C)O1,8
[7*]CC([8*])O,8
[1*]C(=O)[C@@H]([4*])[C@@H](C)CC,8
[15*]C1(C)CC1,8
[1*]C(=O)[C@@]([8*])(C)[C@@H](O)C[7*],8
[5*]N[C@@H](CO)C(=O)N(O)CCC[8*],8
[13*][C@H]1CN2C(=O)C[C@@H]2O1,8
[16*]c1cc(Cl)c2c(c1O)C(=O)O[C@H](C)C2,7
[4*][C@@H]([8*])C,7
[1*]C(=O)[C@H](CC(=O)O)N[5*],7
[13*][C@@H]1O[C@H](C)[C@@H](O)[C@@H]([15*])[C@H]1[15*],7
[3*]O[C@@H]1O[C@H](C)[C@@H](O)[C@@H]([15*])[C@H]1[15*],7
[5*]N[C@@H](CO)C(=O)O,7
[1*]C(=O)[C@@H](CCC[4*])N[5*],7
[1*]C(=O)CCCCC,7
[16*]c1c(C)cccc1O,7
[13*][C@H]1C[C@@H]([15*])[C@@H](O)[C@H](C)O1,7
